,text
2918,"['USD', 'stocks', 'gold', 'funding', 'costs', 'drop', 'TED', 'spread', 'suggesting', 'markets', 'voting', 'confidence', 'latest', 'Fed', 'effort', 'boost', 'credit', 'access', 'httpstcogjSk6Wom5T']"
2919,"['RT', 'SeekingAlpha', 'EGO', 'Eldorado', 'Gold', 'Stay', 'Bullish', 'Q1', 'Production', 'Report', 'httpstcoUY4sgz1D9N', 'stocks', 'economy', 'finance']"
2920,"['Gary', 'K', '“Investors', 'Edge”', 'Radio', 'Show', '04092020', '24', 'min', 'stoolander', 'edition', 'gt', 'httpstco7xsjgxav0a', 'GaryKaltbaum', 'markets', 'stocks', 'investing', 'covid19', 'httpstcoJ2gwSUwWTl']"
2921,"['RT', 'LanceRoberts', 'JPM', 'stopped', 'making', 'Small', 'Business', 'Loans', 'outside', 'guaranteed', 'Government', 'FUCK', 'baile…']"
2922,"['usual', 'dip', 'finish', '2', 'AAPL', 'usual', '2', '3', 'pts', 'close', 'day', 'Stocks', 'never', 'fall']"
2923,"['Market', 'topped', 'right', 'JPM', 'hit', '10439amazing', 'happens', '😎', 'SPY']"
2924,"['Taking', 'profits', 'come', 'ESf', 'SPX', '500contract', 'httpstcoBk76nMeXdC']"
2925,"['RT', 'jodixu', 'Zoom', 'signs', 'former', 'Facebook', 'CSO', 'Alex', 'Stamos', 'outside', 'security', 'consultant', 'fight', 'cyber', 'attacks', 'users', 'surge', 'httpstc…']"
2926,"['BOOM', '💰💰', 'Come', 'Join', 'US', 'fb', 'aapl', 'amzn', 'nflx', 'googl', 'bidu', 'roku', 'spy', 'amd', 'nvda', 'tsla', 'ba', 'baba', 'shop', 'Daily', 'Powerful', 'Watchlist', 'Swing', 'amp', 'Day', 'Option', 'Trading', 'Alerts', 'Paypal', 'monthly', 'link', 'bio', '14999', 'DM', 'biweekly', 'link', '8499', 'trading', 'optionstrader', 'Money', 'httpstcoyAfREyTwo9']"
2927,"['Hunker', 'Wait', 'Coronavirus', '3', 'Prepper', 'Stocks', 'article', 'investorplace', 'httpstcoYAT9IWoIbk', 'CPB', 'KMB', 'AOBC', 'SPY', 'QQQ', 'DJIA', 'DIA', 'stockmarket', 'investing', 'finance', 'stocks', 'gold', 'silver', 'SLV', 'TWTR', 'GLD', 'AAPL', 'TSLA', 'AMZN', 'NFLX', 'INTC', 'AMD', 'economy']"
2928,"['BOOM', '💰💰', 'Come', 'Join', 'US', 'fb', 'aapl', 'amzn', 'nflx', 'googl', 'bidu', 'roku', 'spy', 'amd', 'nvda', 'tsla', 'ba', 'baba', 'shop', 'Daily', 'Powerful', 'Watchlist', 'Swing', 'amp', 'Day', 'Option', 'Trading', 'Alerts', 'Paypal', 'monthly', 'link', 'bio', '14999', 'DM', 'biweekly', 'link', '8499', 'trading', 'optionstrader', 'Money', 'httpstcoQnEJD3Eh2U']"
2929,"['SPY', 'SPX', 'sold', '2745', 'puts', '44079', '2735', '10055', 'Hell', 'way', 'end', 'week']"
2930,"['SPX', 'Stock', 'Buybacks', 'Fall', 'CashRich', 'Companies', 'May', 'Gobble', 'Smaller', 'Rivals', 'httpstcoSaIlesLYI1', 'Looking', 'MSFT', 'GOOGL']"
2931,"['httpstco9VjKMnpm7n', 'Franks', 'International', '73', '362', 'million', 'gain', 'FI', 'made', 'notable', 'gains', '8', 'last', '30', 'trading', 'sessions', 'stockMarket', 'stocks', 'trading', 'market', 'investing', 'NASDAQ', 'NYSE', 'energy', 'oil', 'gas', 'httpstcoYkEt4n1gtA']"
2932,"['Zoom', 'signs', 'former', 'Facebook', 'CSO', 'Alex', 'Stamos', 'outside', 'security', 'consultant', 'fight', 'cyber', 'attacks', 'users', 'surge', 'httpstco7PZ4lZhUXG', 'via', 'ZDNet', 'amp', 'campuscodi', 'ZM', 'cybersecurity', 'FB', 'coronavirus']"
2933,"['Communist', 'propaganda', 'channel', 'CNN', 'lending', 'spending', 'Sell', 'SPX', 'DXY', 'excessive', 'gov', 'spending', 'response', 'ChineseVirus', 'Fake', 'News', 'httpstcoworKwpFoZX']"
2934,"['RT', 'arieabekasis', 'httpstcoUscmJalvhV', 'FinBrain', 'Know', 'First', 'AI', 'Stock', 'Trading', 'Forecasting', 'tools', 'investigate', 'Low', 'fees…']"
2935,"['RT', 'SpiderMan3s', 'ESF', 'Th', '49', 'RedGreen', 'Possible', 'Data', 'Dips', 'gifts', 'Fri', 'Holiday', 'caution', 'PM', '2834', '2825', '2819PossHOD…']"
2936,"['first', 'informative', 'App', 'Pivot', 'Points', 'Stock', 'CBOE', 'Last', 'close', '20200408', '957', 'PIVOT', 'POINT', 'R1', '969', 'R2', '981', 'L1', '933', 'L2', '909', 'Download', 'free', 'httpstcolMYn5Ai2WY', 'tradingview', 'stocks', 'stockstowatch']"
2937,"['DIS', 'Micky', 'ready', 'dump', 'Minnie', '104', 'Dopey', 'involved', 'httpstcoGkg8VjAE6O']"
2938,"['CBOE', 'Signal', 'BUY', 'Since', '20200406', 'performance', '085', 'httpstcoY4L3TJlVE2', 'trading', 'stocks', 'stockstowatch', 'stockstotrade', 'SPX', 'httpstcoIFSRsOcGEX']"
2939,"['Stock', 'Markets', 'Next', 'Move', 'httpstcoJUIMIvU2SN', 'stocks', 'markets', 'business']"
2940,"['Stocks', 'Dow', 'Cuts', 'Gain', 'Energy', 'Falls', 'Amid', 'Ugly', 'Reversal', 'Oil', 'httpstcoW2QyNAkt8e']"
2941,"['borrowing', 'ahead', 'SPY', 'QQQ', 'DJIA', 'DIA', 'stockmarket', 'investing', 'finance', 'stocks', 'gold', 'silver', 'SLV', 'TWTR', 'GLD', 'AAPL', 'TSLA', 'AMZN', 'NFLX', 'AMD', 'INTC', 'economy', 'httpstcoBoYdlWORfA']"
2942,"['RT', 'HomeBuzzOne', 'Coronavirus', 'Stock', 'Market', 'Threats', 'Opportunities', 'Coronavirus', 'stocks', 'spy', 'via', 'iknowfirst', 'yarongol', 'httpstcoN…']"
2943,"['Wondering', 'sentiment', 'indicator', 'PFE', 'Short', 'Ratio', '149', 'httpstcoM0I1FHwk8W']"
2944,"['KeyCorp', 'Reaffirms', '“Hold”', 'Rating', 'RentACenter', 'RCII', 'httpstcoCrMiKqOoyz', 'stocks']"
2945,"['change', 'angle', 'jobless', 'claims', 'SPY', 'QQQ', 'DJIA', 'DIA', 'stockmarket', 'investing', 'finance', 'stocks', 'gold', 'silver', 'SLV', 'TWTR', 'GLD', 'AAPL', 'TSLA', 'AMZN', 'NFLX', 'AMD', 'INTC', 'economy', 'httpstcoahxTYYGKAr']"
2946,"['RT', 'LanceRoberts', 'JPM', 'stopped', 'making', 'Small', 'Business', 'Loans', 'outside', 'guaranteed', 'Government', 'FUCK', 'baile…']"
2947,"['Hasbro', 'Given', 'New', '7800', 'Price', 'Target', 'JPMorgan', 'Chase', 'amp', 'Co', 'httpstcoA49AX0txGk', 'stocks']"
2948,"['RT', 'Lakshmi888', 'SPX', 'SPX', 'ESF', 'Dow', 'NQ', 'NQ', 'NDX', 'RUT', 'DAX', 'FTSE', 'ESF', 'QQQ', 'Dow', 'Almost', '6000pt', 'rise', 'lows', '3', 'weeks', 'ago', 'US30', 'htt…']"
2949,"['Jones', 'Lang', 'LaSalle', 'JLL', 'PT', 'Lowered', '13200', 'httpstcogwcZq6itUd', 'stocks']"
2950,"['JPMorgan', 'Chase', 'amp', 'Co', 'Increases', 'MSC', 'Industrial', 'Direct', 'MSM', 'Price', 'Target', '5800', 'httpstcok9VCwyY5RV', 'stocks']"
2951,"['SunTrust', 'Banks', 'Cuts', 'WPX', 'Energy', 'WPX', 'Price', 'Target', '500', 'httpstcoUJvgube2y3', 'stocks']"
2952,"['Santander', 'Consumer', 'USA', 'SC', 'Price', 'Target', 'Lowered', '1600', 'Piper', 'Sandler', 'httpstcoO7cvL6YMDW', 'stocks']"
2953,"['Coronavirus', 'Testing', 'Vaccines', 'amp', 'Treatments', 'Know', 'JNJ', 'REGN', 'GILD', 'VHT', 'XBI', 'httpstcoO5tZ1DM8sK']"
2954,"['OneMain', 'OMF', 'Price', 'Target', 'Cut', '3400', 'Analysts', 'Piper', 'Sandler', 'httpstcoQXDrERFkdc', 'stocks']"
2955,"['B2Gold', 'BTO', 'PT', 'Set', 'C650', 'Pi', 'Financial', 'httpstco2QIjCT1okx', 'stocks']"
2956,"['Cameco', 'CCO', 'Price', 'Target', 'Raised', 'C1450', 'httpstcoyOJ0qCI4wX', 'stocks']"
2957,"['RT', 'EmergingGrowth1', 'Reviv3', 'ProCare', 'OTCQB', 'RVIV', 'capitalize', '532', 'billion', 'market', '50', 'growth', '2023', 'httpstco6n7gHwJ…']"
2958,"['Canadian', 'Pacific', 'Railway', 'CP', 'Price', 'Target', 'Cut', 'C35200', 'Analysts', 'Royal', 'Bank', 'Canada', 'httpstcoFwpyc5Dpdo', 'stocks']"
2959,"['Cenovus', 'Energy', 'CVE', 'Given', 'C400', 'Price', 'Target', 'Goldman', 'Sachs', 'Group', 'Analysts', 'httpstco8CtiocobAy', 'stocks']"
2960,"['Gildan', 'Activewear', 'GIL', 'Price', 'Target', 'Raised', 'C2400', 'httpstcoEp7vHXOIop', 'stocks']"
2961,"['Endeavour', 'Silver', 'EDR', 'PT', 'Set', 'C230', 'Pi', 'Financial', 'httpstco3CND6vIHf9', 'stocks']"
2962,"['Canadian', 'National', 'Railway', 'CNR', 'Price', 'Target', 'Lowered', 'C10700', 'Royal', 'Bank', 'Canada', 'httpstcoxpgKCGmctA', 'stocks']"
2963,"['people', 'scared', 'late', 'day', 'dip', 'looked', 'like', 'dark', 'pools', 'buying', 'like', 'lunatics', 'SPX', 'QQQ']"
2964,"['RT', 'ProsperTrading', 'afternoon', 'TDANetworks', 'MidDay', 'Movers', 'TomWhiteTDAN', 'cboesib', 'discussed', 'stocks', 'rada…']"
2965,"['SPX', 'permabulls', 'shat', 'think', 'genuinely', 'thought', 'supposed', 'go', 'straight', '3000', 'Powell', 'busted', 'thermonuclear', 'warheads', 'today', 'Oops']"
2966,"['delta', 'given', '7', 'gain', 'today', 'StockMarket', 'Don’t', 'trust', 'airline', 'stocks']"
2967,"['BikeMike48', 'KHerriage', 'use', 'want', 'Billy', 'doesnt', 'work', 'MSFT', 'anymore', 'worries', 'httpstco4kX56R5YEF']"
2968,"['RT', 'CoreySurles', 'Took', 'late', 'short', 'cashing', '20pts', 'everyone', 'like', '2805', '50pts', 'Saw', 'first', 'orderflow', '😁…']"
2969,"['SPX', 'NDX', 'COMP', 'RUT', 'SPY', 'QQQ', 'IWM', 'Alert', 'New', 'symbols', 'SPY', 'SPX', 'added', 'Sell']"
2970,"['Expectations', 'collapsing', 'actually', 'SPY', 'QQQ', 'DJIA', 'DIA', 'stockmarket', 'investing', 'finance', 'stocks', 'gold', 'silver', 'SLV', 'TWTR', 'GLD', 'AAPL', 'TSLA', 'AMZN', 'NFLX', 'AMD', 'INTC', 'economy', 'httpstcoM5DHxujUs1']"
2971,"['SPY', 'SPX', '273', 'next', 'level', 'might', 'swing', '23', 'far', 'httpstcoimMK7K8iIj']"
2972,"['RT', 'NPetallides', 'Apple', 'panel', 'AAPL', 'BUY', 'SELL', 'HOLD']"
2973,"['Todays', 'markets', 'seem', 'jumble', 'SNAP', 'green', 'FB', 'red', 'AAPL', 'green', 'MSFT', 'red', 'DIS', 'green', 'NFLX', 'red', 'hour', 'left', 'market', 'close', 'stocks', 'end', 'day', 'YouCanTrade']"
2974,"['RT', 'JustTradingHoy', 'PFE', 'potential', 'runner', 'close', 'G20', 'meeting', 'could', 'give', 'positive', 'general', 'news', 'tomorro…']"
2975,"['RT', 'ProsperTrading', 'afternoon', 'TDANetworks', 'MidDay', 'Movers', 'TomWhiteTDAN', 'cboesib', 'discussed', 'stocks', 'rada…']"
2976,"['RT', 'Xconomy', 'pfizernews', 'BioNTechGroup', 'Say', 'mRNA', 'COVID19', 'Vaccine', 'Trials', 'May', 'Start', 'Month', 'frankvinluan', 'httpstcoCe0N84OL7…']"
2977,"['Learn', 'Asset', 'Allocation', 'Strategy', 'team', 'believes', 'rebalancing', 'portfolios', 'bear', 'market', 'make', 'difference', 'See', 'new', 'report', 'investing', 'pandemic', 'stocks', 'bonds', 'httpstcorrvdbayKza', 'httpstcooGU0aZ9Xrq']"
2978,"['Confidence', 'collapsing', 'SPY', 'QQQ', 'DJIA', 'DIA', 'stockmarket', 'investing', 'finance', 'stocks', 'gold', 'silver', 'SLV', 'TWTR', 'GLD', 'AAPL', 'TSLA', 'AMZN', 'NFLX', 'AMD', 'INTC', 'economy', 'httpstcova6QbSN3a7']"
2979,"['spx', 'sp500', 'fts', '15m', 'punto', 'caramelo', 'httpstcoT2O5O0dyM4']"
2980,"['spy', 'gspc', 'aapl', 'nflx', 'goog', 'tsla', 'Newmonts', 'stock', 'soars', 'toward', '7', '12year', 'high', 'bullish', 'call', 'analyst', 'gold', 'price', 'rallies', 'httpstcolYRaBgnPcs']"
2981,"['RT', 'RedDogT3', 'think', 'jimcramer', 'u', 'might', 'bit', 'optimistic', 'May', '1st', 'wasn’t', 'day', 'get', 'excited', 'stocks', 'wit…']"
2982,"['afternoon', 'TDANetworks', 'MidDay', 'Movers', 'TomWhiteTDAN', 'cboesib', 'discussed', 'stocks', 'radar', 'GS', 'JPM', 'Grab', 'free', 'day', 'pass', 'Scott’s', 'live', 'signal', 'trading', 'room', 'today', 'httpstcoDofO6Hkn5z', 'httpstcomlm022E6US']"
2983,"['closed', 'tomorrow', 'FYI', 'Oil', 'stil', 'play', 'OPEC', 'meeting', 'tomorrow', 'USO', 'CL', 'WTI', 'New', 'earnings', 'quarter', 'starts', 'next', 'week', 'banks', 'jpm', 'wfc', 'c', 'gs']"
2984,"['spx', '2500', 'makes', 'senes', 'best', 'httpstcoNmUCG0PyFC']"
2985,"['RT', 'MykeSmith', 'sirdavidjcooper', 'impromptu', 'FinTwit', 'song', 'Coinage', 'video', 'Since', 'safer', 'home', 'watching', 'charts…']"
2986,"['Expectations', 'collapsing', 'SPY', 'QQQ', 'DJIA', 'DIA', 'stockmarket', 'investing', 'finance', 'stocks', 'gold', 'silver', 'SLV', 'TWTR', 'GLD', 'AAPL', 'TSLA', 'AMZN', 'NFLX', 'AMD', 'INTC', 'economy', 'httpstcoy43748nwA8']"
2987,"['RT', 'KobeissiLetter', 'SampP', '500', 'countertrend', 'rally', '2', 'SPX', 'bear', 'market', 'HEALTHY', 'another', 'washout', 'Approachin…']"
2988,"['RT', 'jedimarkus77', 'SPX', 'CASH', 'GAP', 'FILL', '274998', 'httpstcoyOKIjOnIwU']"
2989,"['RT', 'HedgeFundTips', 'seen', 'everything', 'PFE', 'would', 'want', 'DoctorNurseResearcher', 'monitoringadministering', 'stud…']"
2990,"['RT', 'AdamMancini4', 'Critical', 'hours', 'coming', 'SPX', 'made', '2780', 'zone', 'ive', 'called', 'week', 'overshot', 'this…']"
2991,"['RT', 'Lakshmi888', 'SPX', 'SPX', 'ESF', 'Dow', 'NQ', 'NQ', 'NDX', 'RUT', 'DAX', 'FTSE', 'ESF', 'QQQ', 'Dow', 'Im', 'saying', 'whilst', 'drop', 'contin…']"
2992,"['stoxrock', '3rd', 'week', 'April', 'looks', 'suspect', 'FB']"
2993,"['Forex', 'analysis', 'live', 'trade', 'signals', 'come', 'join', 'us', 'ForexVox', 'Live', 'httpstcoIv26EYjJKC', '“Feds', '23', 'trillion', 'stimulus', 'softens', '66mln', 'unemployed', 'data', 'BorisJohnson', 'fx', 'CoronavirusOutbreak', 'OOTT', 'USDCAD', 'OIL', 'USDJPY', 'EURUSD', 'SPX', 'DXY', 'httpstcom8I9jNYA33']"
2994,"['KeithMcCullough', 'Need', 'Fed', 'step', 'take', 'AMZN', 'back', '52', 'Week', 'High']"
2995,"['Next', 'trgts', '274650', '272750', 'ESF', 'daytrading', 'futures', 'sp500', 'emini', 'spy', 'VXX', 'MarketProfile', 'fintwit', 'SwingTrading', 'stocktwits']"
2996,"['bring', 'SPX']"
2997,"['RT', 'DKellerCMT', 'bear', 'market', 'rally', 'stop', 'getting', '8590', 'days', 'notyet', 'SPX', 'SPY', 'httpstcoGkKmMw60Gy']"
2998,"['It’s', 'fun', 'amp', 'games', 'big', 'boys', 'start', 'bailing', 'leave', 'retail', 'CNBC', 'crowd', 'holding', 'bags', 'back', 'new', 'lows', 'spx', 'rut', 'es', 'nq']"
2999,"['god', 'trash', 'dragging', 'everything', 'AAPL', 'SPY']"
3000,"['EGO', 'Eldorado', 'Gold', 'Stay', 'Bullish', 'Q1', 'Production', 'Report', 'httpstcoUY4sgz1D9N', 'stocks', 'economy', 'finance']"
3001,"['RT', 'Lakshmi888', 'SPX', 'SPX', 'ESF', 'Dow', 'NQ', 'NQ', 'NDX', 'RUT', 'DAX', 'FTSE', 'ESF', 'QQQ', 'Dow', '5min', 'tf', 'chart', 'ive', 'working', 'SPX', 'today', 'T…']"
3002,"['Heeeeeeeeeck', 'yea', 'bby', 'Got', 'short', 'AAPL', 'top', 'VWAP', 'looking', 'quick', 'dump', 'NAILED']"
3003,"['sp500', 'theres', '2750', 'dancing', 'whaddaya', 'gonna']"
3004,"['Ch2Christo', 'nice', 'SPX', 'reversal', 'heading', 'final', 'hour', 'httpstco4Tmz7KBOYp']"
3005,"['SPX', 'Bidask', 'spreads', 'getting', 'bit', 'wide', 'SPY', 'QQQ', 'DJIA', 'DIA', 'stockmarket', 'investing', 'finance', 'stocks', 'gold', 'silver', 'SLV', 'TWTR', 'GLD', 'AAPL', 'TSLA', 'AMZN', 'NFLX', 'AMD', 'INTC', 'economy', 'httpstcoiB1PF0tYzZ']"
3006,"['SPX', 'CASH', 'GAP', 'FILL', '274998', 'httpstcoyOKIjOnIwU']"
3007,"['SPX', 'past', 'days', 'biggest', 'gains', 'come', 'worst', 'least', 'profitable', 'indebted', 'companies', 'Looks', 'reversing', 'VIX', 'holding', 'strong', 'httpstcoYK1QkdmCDu']"
3008,"['Aquarius', 'Surgical', 'Technologies', 'ASTI', 'Announces', 'Covid19', 'Support', 'Program', 'Clients', 'Corona', 'COVID', 'cdc', 'stocks', 'market', 'StockMarket', 'nasdaq', 'Pennystocks', 'VKTX', 'DXCM', 'ENZ', 'TNDM', 'PODD', 'AZN', 'PRVD', 'ABT', 'LVGO', 'VTVT', 'SYBX', 'APLT', 'AMPE', 'MDT', 'F', 'TGODF', 'httpstcoPGeG9AjAqc']"
3009,"['RT', 'Lakshmi888', 'SPX', 'SPX', 'ESF', 'Dow', 'NQ', 'NQ', 'NDX', 'RUT', 'DAX', 'FTSE', 'ESF', 'QQQ', 'Dow', 'watching', 'zone', '12', 'weeks', 'charts', 'are…']"
3010,"['comfort', 'zone', 'worst', 'place', 'billionaire', 'bitcoin', 'cryptocurrency', 'cryptomarket', 'stockmarket', 'stocks', 'motivationalquotes', 'motivate', 'motivated', 'quotestoliveby', 'lifequotes', 'dontgiveup', 'investor', 'bitcointrading', 'millionairemindset', 'millionaire', 'follow', 'likeforlikes', 'httpstcoBZa9GliJ1f']"
3011,"['RT', 'michaelmuscato', 'Fed', 'printing', 'money', 'like', 'toilet', 'paper', 'explains', 'American', 'people', 'cant', 'find', 'financial', 'disa…']"
3012,"['sirdavidjcooper', 'impromptu', 'FinTwit', 'song', 'Coinage', 'video', 'Since', 'safer', 'home', 'watching', 'charts', 'slow', 'day', 'heres', 'contribution', 'broker', 'themed', 'ballad', 'titled', 'Rich', 'FCK', 'Youre', 'next', 'RealBrianWatt', 'ESF', 'MESF', 'SPX', 'NQF', 'CLF', 'VIX', 'httpstcoPA0WFWhlPi', 'httpstcoZv2VBxIREg']"
3013,"['SPY', 'SPX', 'BULLS', 'httpstco83fipwRwi5']"
3014,"['RT', 'TimmerFidelity', 'Check', 'reaching', '700', 'bps', 'equity', 'risk', 'premium', 'coming', 'SPX', 'moves', 'According', 'di…']"
3015,"['MSFT', 'Microsoft’s', 'Teams', 'product', 'growing', 'blistering', 'pace', 'work', 'home', 'MW']"
3016,"['RT', 'brownforldr', 'Thanks', 'data168', 'predictionmonk', 'EliteOptions2', 'help', 'today', 'Played', 'AMZN', 'amp', 'NQ', 'ways', '14k', 'amp…']"
3017,"['RT', 'LaurieInMadison', 'Drumbeat', 'Serious', 'Question', 'Support', 'Resistance', 'Thoughts', 'One', 'Last', 'Thing', 'Oh', 'One', 'Final', 'Last', 'Thing', 'Could', 'hu…']"
3018,"['SPX', 'Markets', 'closed', 'Monday', 'people', 'planning', 'actually', 'staying', 'weekend', 'thinks']"
3019,"['RT', 'TimmerFidelity', 'Check', 'reaching', '700', 'bps', 'equity', 'risk', 'premium', 'coming', 'SPX', 'moves', 'According', 'di…']"
3020,"['SPY', 'QQQ', 'SPX', 'looks', 'like', 'another', 'Green', 'Day', 'going', 'red', 'gets', '275', '27150', 'possible', 'ImO', 'Lots', 'time', 'left', 'today']"
3021,"['said', 'low', 'wont', 'hold', 'bear', 'shall', 'legs', 'SPY', 'SPX', 'ESF', 'httpstcoQe1IutqCXo']"
3022,"['AMRN', 'secured', 'profits', '620', 'earlier', 'text', 'alerts', 'Another', 'nice', '25', 'gain', 'gotta', 'love', 'ranges', '😍', 'Drop', 'follow', 'stay', 'date', 'moves', 'money', 'stocks', 'trading', 'httpstco7h4en8LK4Q']"
3023,"['SPX', 'rnd', '2', 'closing', 'puts', 'strength']"
3024,"['first', 'informative', 'App', 'Pivot', 'Points', 'Stock', 'CB', 'Last', 'close', '20200408', '11461', 'PIVOT', 'POINT', 'R1', '11642', 'R2', '11822', 'L1', '11195', 'L2', '10928', 'Download', 'free', 'httpstcolMYn5Ai2WY', 'tradingview', 'stocks', 'stockstowatch']"
3025,"['still', 'looking', 'someone', 'else', 'beat', 'performances', 'Try', 'free', '7', 'days', 'httpstco7sAfbFrPQS', 'CB', 'Signal', 'BUY', 'Since', '20200406', 'performance', '348', 'httpstco7tyMawEdwA', 'trading', 'stocks', 'stockstowatch', 'stockstotrade', 'SPX', 'httpstcoIiSPSyUmsn']"
3026,"['Gold', 'leaps', 'highest', 'price', 'since', '2012', 'Fed', 'introduces', 'new', 'stimulus', 'plans', 'StockMarket', 'Economy', 'QuantitativeEasing', 'Recession', 'Stocks', 'FinancialRisk', 'PersonalFinance', 'BullionNews', 'PreciousMetalNews', 'GoldBullion', 'SilverBullion', 'BullionCanada', 'httpstcoKLprCK0KoY']"
3027,"['RT', 'autumnalcity', 'Todays', 'highs', 'echo', 'powerful', 'confluence', 'signal', 'fired', 'Tuesday', 'got', 'large', 'response', 'was…']"
3028,"['Endo', 'International', 'PLC', 'ENDP', 'Given', 'Average', 'Rating', '“Hold”', 'Brokerages', 'httpstcoqsoUNuNo8l', 'stocks']"
3029,"['Todays', 'highs', 'echo', 'powerful', 'confluence', 'signal', 'fired', 'Tuesday', 'got', 'large', 'response', 'also', 'retraced', 'quickly', 'well', 'see', 'badly', 'bears', 'want', 'right', 'AAPL', 'ESF', 'QQQ', 'CLF', 'USO']"
3030,"['NetApp', 'Inc', 'NTAP', 'Given', 'Average', 'Recommendation', '“Hold”', 'Brokerages', 'httpstco2ZZn8iPVq7', 'stocks']"
3031,"['SPX', 'people', 'actually', 'going', 'hold', 'weekend', 'red', 'day']"
3032,"['SPX', 'top', 'Heading', 'back', 'sub', '2500']"
3033,"['Summit', 'Midstream', 'Partners', 'LP', 'SMLP', 'Receives', 'Consensus', 'Rating', '“Hold”', 'Analysts', 'httpstcod59Sxh2e8L', 'stocks']"
3034,"['RT', 'CoreySurles', 'Took', 'late', 'short', 'cashing', '20pts', 'everyone', 'like', '2805', '50pts', 'Saw', 'first', 'orderflow', '😁…']"
3035,"['RT', 'michaelmuscato', 'Fed', 'printing', 'money', 'like', 'toilet', 'paper', 'explains', 'American', 'people', 'cant', 'find', 'financial', 'disa…']"
3036,"['RT', 'michaelmuscato', 'Fed', 'printing', 'money', 'like', 'toilet', 'paper', 'explains', 'American', 'people', 'cant', 'find', 'financial', 'disa…']"
3037,"['RT', 'Lakshmi888', 'SPX', 'SPX', 'ESF', 'Dow', 'NQ', 'NQ', 'NDX', 'RUT', 'DAX', 'FTSE', 'ESF', 'QQQ', 'Dow', 'Kp', 'eye', 'retracement', 'possibly', '2740ish', 'SPX…']"
3038,"['Told', 'y’all', 'cash', 'OampG', 'stocks', 'worst', 'hasn’t', 'even', 'hit', 'energy', 'sector', 'yet', 'Demand', 'oil', 'won’t', 'back', 'months', 'oxy', 'apa', 'chk', 'mro', 'cvx', 'fang', 'pten']"
3039,"['Don’t', 'forget', 'markets', 'closed', 'tomorrow', 'SPY', 'SPX', 'USO']"
3040,"['Alnylam', 'Pharmaceuticals', 'Inc', 'ALNY', 'Receives', 'Consensus', 'Rating', '“Buy”', 'Brokerages', 'httpstcoaNJYFLTphk', 'stocks']"
3041,"['Kilroy', 'Realty', 'Corp', 'KRC', 'Receives', 'Consensus', 'Rating', '“Buy”', 'Analysts', 'httpstcok8VVZvNnMD', 'stocks']"
3042,"['many', 'businesses', 'targeting', 'Vshape', 'recovery', 'normalcy', 'MSFT', 'Teams', 'one', 'rare', 'products', 'come', 'COVID', 'stronger', 'way', 'businesses', 'work', 'forever', 'change', 'neither', 'SlackFB', 'workplace', 'well', 'positioned', 'httpstcoUgqtooZRVr']"
3043,"['Tripadvisor', 'Inc', 'TRIP', 'Receives', 'Consensus', 'Recommendation', '“Hold”', 'Brokerages', 'httpstcoijUXE1kP3i', 'stocks']"
3044,"['Tenaris', 'SA', 'TS', 'Given', 'Consensus', 'Rating', '“Buy”', 'Analysts', 'httpstcoC4rRqP2ujC', 'stocks']"
3045,"['Dave', 'amp', 'Buster’s', 'Entertainment', 'Inc', 'PLAY', 'Given', 'Average', 'Rating', '“Hold”', 'Analysts', 'httpstcoxEXGLlPXrX', 'stocks']"
3046,"['Brookfield', 'Renewable', 'Partners', 'LP', 'BEP', 'Receives', 'Average', 'Recommendation', '“Buy”', 'Brokerages', 'httpstcoHhOovo0l8c', 'stocks']"
3047,"['BIEL', 'VRUS', 'ALPP', 'AVXL', 'NWBO', 'news', 'pennystocks', 'stocks', 'daytrading', 'swingtrading', 'tradingpsychology', 'Bioelectronics', 'Corp', 'OTCMKTSBIEL', 'Climbing', 'Charts', 'httpstcoVfARcS1JLs']"
3048,"['Zynga', 'Inc', 'ZNGA', 'Receives', 'Average', 'Recommendation', '“Buy”', 'Analysts', 'httpstcobx9cNhF5DS', 'stocks']"
3049,"['Science', 'Applications', 'International', 'Corp', 'SAIC', 'Receives', 'Average', 'Recommendation', '“Buy”', 'Brokerages', 'httpstcoyjPZduQJyY', 'stocks']"
3050,"['La', 'Jolla', 'Pharmaceutical', 'LJPC', 'Given', 'Consensus', 'Rating', '“Hold”', 'Analysts', 'httpstcostha4i1Q08', 'stocks']"
3051,"['SPY', 'SPX', 'Easter', 'Surprise', 'next', 'week', '“Circuit', 'Breaker', 'Monday”']"
3052,"['Air', 'Transport', 'Services', 'Group', 'Inc', 'ATSG', 'Given', 'Consensus', 'Recommendation', '“Buy”', 'Brokerages', 'httpstcokus9V4UMX0', 'stocks']"
3053,"['Restoration', 'Hardware', 'Holdings', 'Inc', 'RH', 'Given', 'Consensus', 'Recommendation', '“Hold”', 'Analysts', 'httpstco6uVIF5BHi0', 'stocks']"
3054,"['Caretrust', 'REIT', 'Inc', 'CTRE', 'Given', 'Average', 'Recommendation', '“Hold”', 'Brokerages', 'httpstcoitZIYQ3d05', 'stocks']"
3055,"['Apple', 'AAPL', 'PT', 'Raised', '24000', 'Nomura', 'httpstcoTulPhbLfJ4', 'stocks']"
3056,"['Almost', '50', 'todays', 'Generational', 'Top', 'ESF', 'SPY', 'SPX']"
3057,"['RT', 'Dantheman1250', 'LOL', 'viagra', 'pills', 'coronavirus', 'cnbc', 'PFE', 'BIEI', 'ASTC', 'KWBT']"
